,0,1
SA32549,-50.951917669557574,-2802.763399708391
SA32579,-60.71635525087921,-2035.6295118068786
SA32616,-49.482009298208226,-2972.01164771304
SA32627,-54.740326745455995,-2114.5534713583497
SA32638,-63.060963678103505,-2026.1899034447072
SA32640,-54.40103719935169,-2116.1129016832833
SA32657,-58.17888623769325,-2056.9102017573346
SA32666,-62.5687205274685,-2026.7487645650228
SA32668,-52.429767451959314,-2739.093369499474
SA32672,-60.71618129895775,-2035.84909777016
SA32694,-50.5455148871303,-2922.9407358402614
SA32718,-53.64796118936857,-2139.7448269443976
SA32719,-61.88115490148932,-2030.7222392604258
SA32783,-58.97125451133416,-2048.1265216224097
SA32801,-55.486608327066364,-2097.264515808351
SA32864,-58.88202830088629,-2050.6201297634384
SA32865,-62.470381608519915,-2028.4434422695601
SA32880,-51.91930699750432,-2757.0397321197984
SA32887,-56.91792677171181,-2068.4065883991516
SA32917,-54.08806487669058,-2137.4147671986193
SA32929,-60.81452174543193,-2034.1544200656224
SA32940,-57.492053141704055,-2063.43942276854
SA32960,-60.23400020201364,-2038.6271437704604
SA32962,-66.74147923362294,-2016.0945614855166
SA32963,-59.54732001148224,-2045.7770089337525
SA32964,-61.978848893336036,-2029.2083253796136
SA32970,-57.49749114682353,-2062.6183859437797
SA32971,-58.50199952578483,-2051.9238304613073
SA32979,-61.39340459707774,-2031.4045575899588
SA33008,-58.394729277381764,-2052.6648490171415
SA33009,-56.83151086085242,-2070.7257058004952
SA33011,-59.55106329710998,-2042.7360473555088
SA33014,-58.40041121956743,-2052.241540380852
SA33018,-61.305089401341235,-2033.0717519490834
SA33023,-60.706658123844,-2036.8663742627864
SA33044,-58.97641191627683,-2047.0972624120207
SA33046,-49.99688620798865,-2930.719388188069
SA33055,-57.728748991410654,-2060.772168873857
SA33088,-57.15462300342341,-2065.7393345044684
SA33115,-54.40308500619867,-2115.722053710578
SA33147,-58.96817567174636,-2050.146489261561
SA33159,-58.96735679272303,-2050.546839048567
SA33162,-59.081808311560664,-2046.5333561944062
SA33166,-59.54978421068444,-2045.3252118485889
SA33177,-56.603853885832734,-2074.765318445044
SA33181,-56.163147853045025,-2081.984940882304
SA33183,-61.405029128289954,-2031.2772285969709
SA33184,-60.130766839460684,-2038.9963009881628
SA33185,-49.49598235992288,-2959.21883299071
SA33190,-60.81105791899408,-2035.3250677810302
SA33191,-56.92523901195551,-2067.4084392361715
SA33204,-61.390587245580015,-2031.8049073769648
SA33211,-54.913300836097434,-2101.8313316519566
SA33214,-58.97371871053635,-2047.6747245372462
SA33220,-52.42722974520797,-2739.6493658929535
SA33260,-58.96834900955538,-2049.594275747794
SA33261,-56.15973835384326,-2083.3825238888826
SA33264,-59.55188243997662,-2042.3356975685033
SA33267,-58.9691678885787,-2049.1939259607884
SA33280,-58.07729993259935,-2057.227911676879
SA33288,-49.05956454511455,-2987.3982680401937
SA33309,-53.58021194721488,-2155.355951886796
SA33312,-61.98309462843803,-2028.9277159083133
SA33338,-59.55078383792009,-2044.6063612183445
SA33344,-58.396603130501,-2052.4877366789215
SA33346,-61.291601872003966,-2033.680348905227
SA33350,-58.07917378571858,-2057.050799338659
SA33355,-57.81516490227005,-2058.4530514725134
SA33368,-59.65511580252958,-2041.966540350801
SA33370,-54.09263538483377,-2133.485157947025
SA33388,-56.92336430323337,-2067.585551574391
SA33389,-58.38929127226229,-2053.4858858419016
SA33391,-62.56807560036663,-2026.929528388748
SA33395,-61.88050997438745,-2030.903003084151
SA33398,-56.835193658640996,-2070.302397164206
SA33403,-60.813876818330066,-2034.3351838893473
SA33409,-59.548697215164644,-2045.6737655567229
SA33410,-60.81533909692966,-2033.7540702786162
SA33411,-58.75787767197134,-2051.9200772774393
SA33423,-57.503173089009195,-2062.1950773074905
SA33424,-64.93748629200866,-2018.8144640252174
SA33426,-60.709477266710635,-2036.4660244757806
SA33427,-63.75049436996961,-2021.8318871670747
SA33433,-56.25738487286517,-2075.692871431107
SA33434,-54.767259774035736,-2113.724186000134
SA33435,-63.15905548593065,-2024.0911590596525
SA33436,-58.18457018100242,-2056.486893121045
SA33437,-57.73243178919923,-2060.348860237568
SA33438,-57.40931964662825,-2065.3352315335947
SA33448,-63.65240256214246,-2023.9306315521296
SA33454,-55.19321795296714,-2099.00042540301
SA33462,-50.547455491576265,-2910.774153581464
SA33476,-55.7066157552745,-2084.7188553716824
SA33485,-60.814694169827796,-2033.9348341023413
SA33486,-53.20979504556036,-2169.464955131486
SA33491,-55.49110962187326,-2096.4408573850556
SA33494,-61.38994231847814,-2031.98567120069
SA33495,-60.234817553511384,-2038.2267939834544
SA33518,-55.19526575981413,-2098.6095774303035
SA33519,-58.75869502346907,-2051.519727490433
SA33545,-51.46862628375729,-2775.5192165211756
SA33548,-52.8193801772704,-2224.99377048215
SA33549,-63.74963755551425,-2021.8376202347993
SA33569,-57.49123426268073,-2063.839772555546
SA33570,-48.961105450142455,-3000.511092515681
SA33572,-49.05959908987178,-2977.493221879382
SA33574,-58.968001719824905,-2050.3660752248425
SA33575,-59.54723340903945,-2046.2548791674542
SA33576,-57.822477142513755,-2057.4549023095333
SA33585,-55.49633578401886,-2090.0922607390194
