,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
SA30969,-15.0,-13.0,0.0,0.0,-2.0,-14.0,0.0,-2.0,0.0,0.0,-2.0,-10.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-20.0,0.0,0.0,-9.0,-20.0,-16.0,-15.0,0.0,0.0,-12.0,-20.0,0.0,-10.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,11.936143064072636,-8.881784197001252e-16,-27.0,0.0,0.0
SA31074,-21.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-20.0,0.0,-20.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,12.415756213547839,0.0,-17.0,0.0,0.0
SA31075,-16.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-11.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-17.0,-14.0,0.0,-15.0,0.0,0.0,0.0,-20.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,12.010319933831848,-8.881784197001252e-16,-23.0,0.0,0.0
SA31151,-20.0,-20.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,-20.0,0.0,0.0,-14.0,-20.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,12.812903233072063,0.0,0.0,0.0,0.0
SA31162,-14.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-4.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,-16.0,-15.0,0.0,0.0,-12.0,-20.0,0.0,-10.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-20.0,0.0,-20.0,0.0,11.917450555041556,-8.881784197001252e-16,-27.0,0.0,0.0
SA31280,-17.0,-20.0,0.0,0.0,0.0,-14.0,0.0,-2.0,-1.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-6.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,-20.0,0.0,-15.0,-7.0,0.0,0.0,-20.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-20.0,0.0,0.0,0.0,12.074815609650809,-8.881784197001252e-16,-21.0,0.0,0.0
SA31372,-9.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-20.0,-8.0,-4.0,-9.0,0.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,-11.0,0.0,-19.0,-8.0,-20.0,0.0,11.82677856532771,0.0,-28.0,0.0,0.0
SA31411,-8.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-20.0,-8.0,-4.0,-9.0,0.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,0.0,0.0,0.0,-5.0,-6.0,0.0,-11.0,-8.0,-14.0,0.0,-20.0,0.0,11.815758450891737,0.0,-28.0,0.0,0.0
SA31427,-12.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-20.0,-8.0,-4.0,-9.0,0.0,-16.0,-15.0,-7.0,0.0,-6.0,-20.0,0.0,-10.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-19.0,0.0,-20.0,0.0,11.865952049379148,0.0,-28.0,0.0,0.0
SA31612,-15.0,-13.0,0.0,0.0,-2.0,-14.0,0.0,-2.0,-1.0,0.0,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-17.0,-20.0,0.0,-15.0,-7.0,0.0,-6.0,-20.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-19.0,0.0,0.0,0.0,11.971153632799917,8.881784197001252e-16,-24.0,0.0,0.0
SA31781,-7.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,0.0,0.0,0.0,-5.0,-6.0,0.0,-11.0,0.0,-14.0,-8.0,-15.0,0.0,11.803202747150022,0.0,-28.0,0.0,0.0
SA31783,-15.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-17.0,-14.0,-16.0,-15.0,0.0,0.0,-12.0,-20.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-20.0,0.0,11.970777629270868,8.881784197001252e-16,-24.0,0.0,0.0
SA31890,-12.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-4.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,-10.0,-15.0,0.0,0.0,-6.0,-20.0,-12.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-20.0,0.0,11.883679541099246,-8.881784197001252e-16,-27.0,0.0,0.0
SA31909,-14.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-6.0,0.0,-10.0,0.0,-20.0,-8.0,0.0,-9.0,0.0,0.0,-15.0,-7.0,0.0,0.0,-20.0,0.0,-10.0,0.0,0.0,0.0,-5.0,0.0,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,11.937620142396689,-8.881784197001252e-16,-26.0,0.0,0.0
SA31948,-6.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,0.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,-6.0,-3.0,0.0,-5.0,-11.0,0.0,-11.0,-8.0,-14.0,0.0,-9.0,0.0,11.809361122839892,-8.881784197001252e-16,-27.0,0.0,0.0
SA31961,-11.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-12.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-8.0,-19.0,0.0,-20.0,0.0,11.86413325397694,-8.881784197001252e-16,-27.0,0.0,0.0
SA31994,-11.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,0.0,-4.0,-9.0,-14.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-10.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-19.0,0.0,-20.0,0.0,11.845011314197833,0.0,-28.0,0.0,0.0
SA32002,-10.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-20.0,-8.0,-4.0,-9.0,0.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-10.0,0.0,0.0,0.0,-5.0,0.0,0.0,-11.0,0.0,-19.0,0.0,-20.0,0.0,11.837894165843647,0.0,-28.0,0.0,0.0
SA32009,-12.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-4.0,0.0,-10.0,0.0,-20.0,-8.0,0.0,-9.0,0.0,-10.0,-15.0,0.0,0.0,-6.0,-20.0,-12.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-20.0,0.0,11.884498683965889,-8.881784197001252e-16,-27.0,0.0,0.0
SA32023,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-20.0,0.0,-16.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,12.248514458972608,0.0,-19.0,0.0,0.0
SA32148,-1.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-7.0,-15.0,-7.0,-4.0,-6.0,-17.0,-6.0,-5.0,-6.0,-3.0,0.0,-5.0,-6.0,-3.0,-11.0,-5.0,-14.0,-3.0,-9.0,-2.0,11.76242515870207,8.881784197001252e-16,-28.0,0.0,0.0
SA32154,-19.0,-20.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,-20.0,0.0,0.0,-14.0,-20.0,0.0,-15.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,12.723807081137837,0.0,0.0,0.0,0.0
SA32177,-10.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,0.0,0.0,0.0,-5.0,-11.0,0.0,0.0,0.0,-14.0,-8.0,-20.0,0.0,11.849077002136909,-8.881784197001252e-16,-27.0,0.0,0.0
SA32195,-11.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-12.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-19.0,-8.0,-20.0,0.0,11.863488326875068,-8.881784197001252e-16,-27.0,0.0,0.0
SA32203,-15.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-11.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,0.0,-15.0,0.0,0.0,0.0,-20.0,0.0,-10.0,0.0,0.0,0.0,-5.0,0.0,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,11.956992859602536,0.0,-26.0,0.0,0.0
SA32205,-11.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-20.0,-8.0,0.0,-9.0,0.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-12.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-8.0,-19.0,0.0,-20.0,0.0,11.864952396843586,-8.881784197001252e-16,-27.0,0.0,0.0
SA32221,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-20.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-20.0,0.0,12.977143359981527,0.0,-1.0,0.0,0.0
SA32233,-8.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,0.0,0.0,0.0,-5.0,-6.0,0.0,0.0,-8.0,-14.0,0.0,-20.0,0.0,11.81178217410381,0.0,-28.0,0.0,0.0
