city_name,candidate_num,knee_cost,knee_emission,knee_built_cs,knee_fast_per_cs,knee_slow_per_cs,knee_extra_large,knee_extra_medium,knee_extra_small,large_model,medium_model,small_model,knee_built_ratio
抚州市,49,66.16600676,1921.849616,6,2.833333333,19.66666667,7,0,0,4,2,1,0.12
信阳市,49,92.78503909,2982.893903,8,5.875,18,20,4,0,4,2,2,0.16
梧州市,48,68.72771143,2502.135089,6,4,18,7,1,0,4,2,1,0.12
六盘水市,48,73.32999268,2033.006686,7,3,17.42857143,18,0,0,4,2,1,0.15
丹东市,48,86.62534105,2045.618535,7,7.857142857,18.14285714,12,0,0,4,2,1,0.15
湛江市,47,61.31862247,2999.59731,8,6.875,12.5,45,0,0,4,4,1,0.17
廊坊市,47,110.4350215,4067.955006,6,14.16666667,19.33333333,26,0,0,4,3,0,0.13
河池市,46,78.97909644,2435.389272,7,4.142857143,14.28571429,29,6,0,4,2,1,0.15
昭通市,42,89.13997088,2910.42884,5,12,17.2,10,0,0,4,2,1,0.12
淮北市,42,75.17513615,2316.328118,5,9.4,20,9,0,0,4,2,0,0.12
通化市,42,68.79947295,2081.162312,7,5.571428571,15.57142857,3,14,0,4,2,1,0.17
景德镇市,41,57.64012522,2091.474509,6,5.5,15.33333333,5,0,0,4,2,1,0.15
锦州市,40,18.19709431,510.5365331,9,0.333333333,4.444444444,4,0,0,4,2,1,0.23
黄石市,40,94.38180679,3548.110674,4,17.75,20,43,4,0,4,2,1,0.1
辽阳市,39,59.69570093,1685.76173,6,3.666666667,15.83333333,6,4,0,4,2,1,0.15
佳木斯市,38,56.38194913,2074.844777,5,9.6,17,2,0,0,4,2,1,0.13
驻马店市,38,138.2393423,4925.506223,7,19.71428571,20,18,4,0,4,2,1,0.18
新余市,38,25.90899121,858.2399182,10,0.8,5.4,0,0,0,4,2,1,0.26
临汾市,37,57.3438195,1554.674332,6,9.5,17.16666667,2,0,0,4,2,1,0.16
衡水市,37,37.08955175,1405.646799,7,3.714285714,11.57142857,12,9,0,4,2,1,0.19
永州市,37,23.31913971,748.4969143,7,0.571428571,8.428571429,2,0,0,4,2,1,0.19
拉萨市,37,114.9911549,4138.893867,5,16,18.2,33,0,0,4,2,0,0.14
吉安市,36,53.9966933,1887.949089,5,5.8,17.2,21,8,0,4,2,1,0.14
北海市,36,28.62719205,948.1587834,5,1.2,14.4,3,8,0,4,2,1,0.14
邵阳市,35,87.68781625,3571.219138,7,15.28571429,19.42857143,52,4,0,4,2,1,0.2
百色市,35,33.62497101,1206.288181,5,4.4,12,9,3,0,4,2,1,0.14
宁德市,34,117.0599664,4212.167184,6,14,18.83333333,11,3,0,4,2,1,0.18
沧州市,34,91.59079648,2985.152009,6,18.66666667,20,0,5,0,4,2,1,0.18
朔州市,34,48.03471129,1254.746334,6,6.166666667,15,3,1,0,4,2,1,0.18
玉林市,34,54.63525122,2023.285666,4,9.75,17.75,8,0,0,4,2,1,0.12
运城市,34,81.57111627,4103.810262,7,17.57142857,20,94,11,0,4,2,0,0.21
周口市,34,52.34735594,2042.95618,5,13.6,20,11,2,0,4,2,2,0.15
汕尾市,33,78.53385097,1911.180192,4,9.25,18,11,1,0,4,2,1,0.12
三门峡市,33,57.10274516,2060.889091,5,9.6,17.8,28,2,0,4,2,1,0.15
吕梁市,32,96.13483864,2593.40268,6,10.16666667,12.5,1,0,0,4,3,1,0.19
七台河市,31,63.57986788,1188.451591,6,2.666666667,18.16666667,2,0,0,4,2,1,0.19
毕节市,30,55.27715829,1996.560711,3,12.66666667,19.33333333,13,0,0,4,2,1,0.1
怀化市,30,74.91611649,2418.345285,4,16,20,10,2,0,4,2,1,0.13
贵港市,30,26.47910228,1309.460363,3,12.33333333,20,21,0,0,4,2,1,0.1
哈密市,29,37.48021746,1821.840937,3,17.66666667,20,15,0,0,4,2,1,0.1
晋城市,29,76.03392321,1776.673706,4,12.75,20,0,0,0,4,2,1,0.14
安顺市,28,84.95099135,3493.834031,4,15,18.5,18,0,0,4,2,1,0.14
铜仁市,28,38.81612792,1443.977182,3,15.33333333,20,11,0,0,4,2,1,0.11
咸宁市,28,37.28670978,1335.148095,4,4.75,16.75,4,0,0,4,2,1,0.14
鹤壁市,27,52.96532149,2088.248342,4,12.75,20,24,4,0,4,2,1,0.15
娄底市,27,21.15225233,547.7584608,4,0.25,12.25,3,0,0,4,2,1,0.15
揭阳市,27,35.07391726,1225.809827,7,2.714285714,10.85714286,2,0,0,4,4,0,0.26
张掖市,27,44.06043717,1291.846268,5,6.4,16.8,2,0,0,4,2,1,0.19
宿州市,26,26.26127587,1276.213058,6,3.166666667,10.5,17,2,0,4,2,2,0.23
四平市,26,52.67275028,1829.674253,4,12.75,20,0,4,0,4,2,1,0.15
资阳市,25,56.77711872,2285.669345,4,15.25,18,27,0,0,4,3,0,0.16
河源市,25,26.44017231,777.0922639,4,2.75,11.25,5,1,0,4,2,1,0.16
濮阳市,25,53.01703402,2172.468428,3,20,20,18,0,0,4,2,2,0.12
双鸭山市,25,37.85292186,917.275793,5,1.8,15.8,0,6,0,4,2,1,0.2
赤峰市,24,23.14969407,1270.30556,3,10.66666667,18.33333333,9,2,0,4,2,1,0.12
