,0,1
SA32670,-56.26112634141539,-9507.926705640326
SA32672,-66.97264347176565,-9362.047171974868
SA32674,-63.158410558828784,-9405.160207018864
SA32675,-54.51107115016631,-9552.261842292934
SA32678,-64.93813121911053,-9378.13960758368
SA32681,-56.261180045439204,-9506.712588589178
SA32698,-53.93096825530127,-9571.624930507503
SA32712,-57.07886979151923,-9490.625827754056
SA32735,-64.93748629200866,-9379.066022180272
SA32738,-59.20857467823167,-9454.364837506098
SA32739,-53.362699793204115,-9587.066159794143
SA32740,-49.482009298208226,-9946.010715528064
SA32757,-57.43359875435796,-9484.700537788593
SA32762,-62.79970755890272,-9413.971025824529
SA32783,-54.50666691425131,-9559.492236789638
SA32786,-57.43676209720162,-9479.855522520384
SA32787,-64.3410764395532,-9382.795626606237
SA32795,-52.67672635205295,-9629.655613242165
SA32817,-51.66170076725267,-9659.927087266005
SA32836,-60.400307836645894,-9445.698040500805
SA32838,-63.98006721521522,-9391.613382649748
SA32862,-55.090965136281284,-9539.202935243913
SA32876,-56.845953799431726,-9495.619114455303
SA32877,-59.44020663676777,-9450.60218900497
SA32883,-54.506613210227506,-9560.706353840787
SA32884,-55.91935174409304,-9511.305623556987
SA32885,-65.17725569585413,-9373.505217144988
SA32887,-57.6670721181787,-9478.78559343348
SA32888,-56.84844013181825,-9492.540404004729
SA32889,-59.80322501727291,-9449.323698887167
SA32894,-54.51944524633497,-9548.389803859049
SA32902,-53.59075103285369,-9585.893239543468
SA32917,-56.84527678897458,-9497.385419272929
SA32951,-52.20866310988867,-9631.16371372793
SA32952,-50.5455148871303,-9779.449893559839
SA32968,-53.94355644507587,-9565.553447129616
SA32970,-49.86430398285688,-9863.510062418873
SA32971,-54.511025424356035,-9554.131154028903
SA32984,-49.05956454511455,-9988.955188628435
SA32986,-53.93161318240314,-9570.698515910906
SA32988,-51.8918947274732,-9656.916684532916
SA32990,-50.83373709385717,-9735.140831729057
SA33004,-53.59750065694201,-9584.075538510036
SA33008,-63.981481401403826,-9390.665226223548
SA33027,-55.33102977870966,-9523.990505041336
SA33033,-58.61320132636146,-9458.136142728492
SA33041,-53.92667349830225,-9575.634572625777
SA33042,-57.66952546989307,-9476.92824716918
SA33044,-53.35921965532608,-9587.871453249129
SA33050,-57.08188051496685,-9487.846823835895
SA33052,-49.05959908987178,-9959.257209730991
SA33064,-62.80081581033428,-9412.2201376325
SA33066,-57.081323143233604,-9488.768481489753
SA33083,-54.515965108456925,-9549.195097314034
SA33096,-56.26257151814925,-9503.367939224778
SA33097,-55.67101667477118,-9521.549765927495
SA33098,-60.03365467697389,-9447.40912263649
SA33101,-57.081203504509695,-9489.613128653526
SA33103,-62.56982877890006,-9415.056371537034
SA33107,-57.666514746445465,-9479.707251087348
SA33120,-54.173852582995785,-9562.572119913162
SA33121,-61.40567405539182,-9438.444524303774
SA33122,-61.62157427348202,-9437.92316739215
SA33123,-55.675902654848265,-9517.82782626378
SA33124,-57.667191756902604,-9477.94094626971
SA33125,-56.85089348353262,-9490.68305774043
SA33127,-65.77431047541147,-9368.84919812243
SA33163,-51.659216574031795,-9662.833454359774
SA33168,-56.25757813002454,-9509.518112990792
SA33181,-58.02376212502599,-9469.863360450267
SA33182,-58.022393028591566,-9473.899734663404
SA33186,-64.34043151245133,-9383.722041202833
SA33189,-55.68862386359009,-9514.192209710178
SA33196,-58.84363098606244,-9456.221566477816
